Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
HI;Hinwil;2014-01-01;2800;3200.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3000509, 8.83969785564;http://lod.opentransportdata.swiss/didok/8503130
GLO;Glovelier;2014-01-01;870;980.0;CFF;Ohne CJ.;47.3352002384, 7.20929652415;http://lod.opentransportdata.swiss/didok/8500123
HERL;Herrliberg-Feldmeilen;2014-01-01;4000;4800.0;SBB;;47.2818232851, 8.61271954112;http://lod.opentransportdata.swiss/didok/8503103
HUCH;Hünenberg Chämleten;2014-01-01;220;250.0;SBB;;47.1691518563, 8.44989778178;http://lod.opentransportdata.swiss/didok/8502306
HAEW;Häggenschwil-Winden;2014-01-01;250;270.0;SOB;;47.5038584595, 9.35870895961;http://lod.opentransportdata.swiss/didok/8506395
HUZY;Hünenberg Zythus;2014-01-01;1300;1600.0;SBB;;47.17360308, 8.45007424526;http://lod.opentransportdata.swiss/didok/8515996
HUEW;Hüntwangen-Wil;2014-01-01;1100;1400.0;SBB;;47.5812668467, 8.51282074899;http://lod.opentransportdata.swiss/didok/8503403
HO;Hochdorf;2014-01-01;1700;2000.0;SBB;;47.1669743615, 8.28868696709;http://lod.opentransportdata.swiss/didok/8502024
HUR;Hurden;2014-01-01;150;150.0;SOB;;47.2141479959, 8.80072915334;http://lod.opentransportdata.swiss/didok/8503299
CRGD;Creux-de-Genthod;2014-01-01;350;440.0;CFF;;46.263759507, 6.16132058711;http://lod.opentransportdata.swiss/didok/8501012
CR;Croy-Romainmôtier;2014-01-01;310;360.0;CFF;;46.6967038907, 6.47811907461;http://lod.opentransportdata.swiss/didok/8501106
CP;Corcelles-Peseux;2014-01-01;470;550.0;CFF;;46.9833400639, 6.88380561207;http://lod.opentransportdata.swiss/didok/8504232
CTM;Courtemaîche;2014-01-01;70;90.0;CFF;;47.4558625333, 7.05537172567;http://lod.opentransportdata.swiss/didok/8500127
DAG;Dagmersellen;2014-01-01;850;1000.0;SBB;;47.2175519872, 7.97901545049;http://lod.opentransportdata.swiss/didok/8502004
DOE;Döttingen;2014-01-01;2300;2700.0;SBB;;47.5752638935, 8.25634387912;http://lod.opentransportdata.swiss/didok/8503501
DTL;Dietlikon;2014-01-01;7300;8600.0;SBB;;47.4201947418, 8.61925589067;http://lod.opentransportdata.swiss/didok/8503306
DUG;Duggingen;2014-01-01;590;670.0;SBB;;47.4534348999, 7.60344839068;http://lod.opentransportdata.swiss/didok/8500116
DTF;Dietfurt;2014-01-01;230;260.0;SBB;;47.3445497083, 9.07830029592;http://lod.opentransportdata.swiss/didok/8506202
CT;Court;2014-01-01;250;300.0;CFF;;47.2405870125, 7.34209529907;http://lod.opentransportdata.swiss/didok/8500104
GER;Gerra (Gambarogno);2014-01-01;50;50.0;FFS;;46.1220435171, 8.784962426;http://lod.opentransportdata.swiss/didok/8505410
GS;Grenchen Süd;2014-01-01;4600;5500.0;SBB;;47.1887666151, 7.39817426522;http://lod.opentransportdata.swiss/didok/8500202
GIU;Giubiasco;2014-01-01;5200;6300.0;FFS;;46.1738183582, 9.00358391238;http://lod.opentransportdata.swiss/didok/8505214
GF;Glattfelden;2014-01-01;900;1000.0;SBB;;47.5485571928, 8.52403632788;http://lod.opentransportdata.swiss/didok/8503401
GDA;Gordola;2014-01-01;710;810.0;FFS;;46.1790452957, 8.86576625228;http://lod.opentransportdata.swiss/didok/8505402
EBLI;Ebligen;2014-01-01;50;50.0;ZB;;46.7526220004, 7.99002753483;http://lod.opentransportdata.swiss/didok/8508304
