PLZ To	PLZ Name	Count	percent	cups_pday	cups_pday_segment
1746	Prez-vers-Noréaz	6.071428571428571	3.4609684196811024e-05	16	1-50
1752	Villars-sur-Glâne	229.64285714285717	0.00130906040814997	622	200-1k
1753	Matran	50.92857142857143	0.000290314174497956	138	50-200
1754	Avry	37.21428571428571	0.0002121370054886887	101	1-50
1756	La Brillaz	5.214285714285714	2.972361113373182e-05	14	1-50
1757	Noréaz	4.071428571428571	2.3208847049626213e-05	11	1-50
1762	Givisiez	110.21428571428571	0.0006282675613609341	298	50-200
1763	Granges-Paccot	137.2142857142857	0.000782178862847929	372	50-200
1772	Grolley Ponthaux	30.42857142857143	0.00017345559373931172	82	1-50
1773	Belmont-Broye	8.571428571428571	4.886073063079203e-05	23	1-50
1774	Montagny (FR)	9.5	5.4153976449127834e-05	26	1-50
1775	Montagny (FR)	2.5	1.4251046433981009e-05	7	1-50
1776	Montagny (FR)	7.857142857142857	4.478900307822603e-05	21	1-50
1782	Belfaux La Sonnaz	81.35714285714285	0.00046376976823726764	220	50-200
1783	Courtepin	28.357142857142858	0.0001616475838368703	77	1-50
1784	Courtepin	36.07142857142857	0.00020562224140458312	98	1-50
1785	Cressier (FR)	17.428571428571427	9.935015228261046e-05	47	1-50
1786	Mont-Vully	48.42857142857143	0.000276063128063975	131	1-50
1787	Mont-Vully Vully-les-Lacs	22.071428571428573	0.0001258163813742895	60	1-50
1788	Mont-Vully	3.7857142857142856	2.1580156028599813e-05	10	1-50
1789	Mont-Vully	3.5	1.9951465007573414e-05	9	1-50
1791	Courtepin	11.0	6.270460430951644e-05	30	1-50
1792	Gurmels	26.07142857142857	0.00014861805566865907	71	1-50
1793	Murten	12.785714285714285	7.288392319093144e-05	35	1-50
1794	Murten	21.214285714285715	0.00012093030831121028	57	1-50
1796	Courgevaux	18.642857142857142	0.00010627208912197266	50	1-50
1797	Münchenwiler	18.642857142857142	0.00010627208912197266	50	1-50
1800	Vevey	115.71428571428572	0.0006596198635156925	313	50-200
